<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201102,09:30:00,548.9722432,548.977344,547.8500803999999,547.8500803999999,12
20201102,09:31:00,547.6307486000001,548.2989456,546.7228169,546.7228169,12
20201102,09:32:00,547.0135591,548.3397514999999,547.0135591,548.2683411,12
20201102,09:33:00,548.074513,548.1765278,547.5338346,547.7735693,12
20201102,09:34:00,547.8500803999999,548.3601543999999,546.2841533,546.2943547,12
20201102,09:35:00,546.1464333,547.2481931,546.1362318,547.171682,12
20201102,09:36:00,547.1002717,547.8143752999999,547.1002717,547.2226893999999,12
20201102,09:37:00,547.0390628,547.0390628,546.4116717999999,546.778925,12
20201102,09:38:00,546.8299324,547.1563798,546.4728805999999,547.1359767999999,12
20201102,09:39:00,547.1512791,547.1512791,546.05462,546.2637503,12
20201102,09:40:00,546.1872392000001,546.3147577000001,545.7332733,545.7332733,12
20201102,09:41:00,545.8352881,546.0444185,545.2844082,545.4680348999999,12
20201102,09:42:00,545.6210571,545.6975682,545.1721919,545.3507178,12
20201102,09:43:00,545.3405164,545.4578334,544.876349,544.876349,12
20201102,09:44:00,544.7845357000001,545.0344719999999,544.3101669,544.3101669,12
20201102,09:45:00,544.5141965,545.1109831,544.5141965,545.1109831,12
20201102,09:46:00,545.4119267000001,545.4374303999999,545.0446734,545.1976956,12
20201102,09:47:00,545.4119267000001,545.5955534,545.2946097,545.5955534,12
20201102,09:48:00,546.0699222,546.544291,546.0291162999999,546.0291162999999,12
20201102,09:49:00,546.289254,546.6157013999999,546.2484481,546.5901977000001,12
20201102,09:50:00,546.3402614,546.4218732,545.9220007,545.9271014999999,12
20201102,09:51:00,545.9781088999999,546.4677799,545.9475044,546.4677799,12
20201102,09:52:00,546.4473769,547.0084582999999,546.3861681,547.0084582999999,12
20201102,09:53:00,547.1053724,547.1869842,546.8860406,547.1869842,12
20201102,09:54:00,547.2277902000001,547.3502079,546.5952984,546.5952984,12
20201102,09:55:00,546.5850968999999,546.5850968999999,545.544546,545.544546,12
20201102,09:56:00,545.4323297000001,545.799583,545.4323297000001,545.5598482,12
20201102,09:57:00,545.8505904,546.2688509999999,545.8505904,546.1260302999999,12
20201102,09:58:00,546.2280451,546.2280451,545.9526052,545.9526052,12
20201102,09:59:00,545.9985118,546.4524777,545.9832096,546.1770377,12
20201102,10:00:00,547.2787976,547.4165174999999,546.8911413,547.0645665,12
20201102,10:01:00,547.3502079,547.957196,547.3502079,547.936793,12
20201102,10:02:00,547.9418937999999,547.9418937999999,547.2430923999999,547.6358494,12
20201102,10:03:00,547.5899427,547.5899427,547.1206746,547.2430923999999,12
20201102,10:04:00,547.2685961,547.7276627,547.1512791,547.7276627,12
20201102,10:05:00,547.8092745,547.8500803999999,547.3502079,547.7480656,12
20201102,10:06:00,547.7225619,547.8347782000001,547.0186597999999,547.0186597999999,12
20201102,10:07:00,547.0645665,547.3502079,546.8707383999999,546.8707383999999,12
20201102,10:08:00,547.074768,547.1971857000001,546.8860406,547.0900702,12
20201102,10:09:00,547.0696672,547.0900702,546.8044287,547.0543650000001,12
20201102,10:10:00,547.0645665,547.4012153,546.7840258,547.2124878999999,12
20201102,10:11:00,547.2838982999999,547.4675249,546.5493917,546.8146302,12
20201102,10:12:00,546.9472495,547.2940997999999,546.9472495,547.2940997999999,12
20201102,10:13:00,547.3859131,547.8806848999999,547.3553087,547.6766553,12
20201102,10:14:00,547.7123605,548.0490093,547.584842,547.7888716,12
20201102,10:15:00,547.7174612000001,547.7225619,546.9421487000001,546.9421487000001,12
20201102,10:16:00,547.0237606000001,547.9265915,547.0237606000001,547.7837708,12
20201102,10:17:00,547.6919575000001,547.7735693,547.5950433999999,547.7480656,12
